parcel number,address,use description,acreage,area square feet,year built,number bedrooms,number bathrooms,number fireplaces,garage,pool/spa,net assessed value,market value 2024,market value 2015,distance to wetland,in floodplain
073-181-001,"6995 WHITTIER DR GOLETA, CA 93117",Single Family Residence,0.21,1469,1966,3,1.75,1,478,None,305650,1450600,781800,,0
073-181-002,"510 MILLS WAY GOLETA, CA 93117",Single Family Residence,0.23,1630,1967,3,2,1,474,None,996619,1707400,854000,,0
073-181-003,"516 MILLS WAY GOLETA, CA 93117",Single Family Residence,0.19,1732,1967,4,3.5,1,478,Spa,2093000,2100000,840700,,0
073-181-004,"6980 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.2,1714,1967,3,2.25,1,440,None,1053498,1677000,840600,,0
073-181-005,"6970 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.23,1630,1967,3,2,1,474,Spa,958816,1655500,994800,,0
073-181-006,"6971 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.19,1469,1967,3,1.75,1,478,None,306278,1420200,784600,,0
073-181-007,"6981 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.2,1630,1967,3,1.75,1,474,None,105855,1531900,841900,,0
073-181-008,"6991 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.21,1812,1967,4,1.75,1,478,Both,791828,1648700,850700,,0
073-290-001,"561 MILLS WAY GOLETA, CA 93117","Rec. Area - 7-up class, 1000-1300 sq.ft.",0,1278,1968,2,2,1,437,Pool,667884,972000,575000,,0
073-290-002,"559 MILLS WAY GOLETA, CA 93117","Rec. Area - 7-up class, 1000-1300 sq.ft.",0,1224,1967,2,2,1,456,Pool,671612,1009600,585200,,0
073-290-003,"557 MILLS WAY GOLETA, CA 93117","Rec. Area - 7-up class, 1300-1500 sq.ft.",0,1305,1968,2,1.5,0,450,Both,313066,915400,549800,,0
073-290-004,"555 MILLS WAY GOLETA, CA 93117","Rec. Area - 7-up class, 1500-1800 sq.ft.",0,1575,1967,3,2.5,1,450,None,582075,1037700,674500,,0
073-290-005,"553 MILLS WAY GOLETA, CA 93117","Rec. Area - 7-up class, 1500-1800 sq.ft.",0,1622,1968,3,2,1,450,None,368674,1103100,733300,,0
073-290-006,"543 MILLS WAY GOLETA, CA 93117","Rec. Area - 7-up class, 1500-1800 sq.ft.",0,1742,1968,4,2,1,450,Both,461709,1207600,826300,,0
073-290-007,"552 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 800-1000 sq.ft.",0,1024,1973,2,1.5,1,200,Both,652703,727300,488500,,1
073-290-008,"541 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 800-1000 sq.ft.",0,944,1973,2,1.5,1,200,Both,601258,811900,484800,,1
073-290-009,"539 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1152,1974,2,1.5,1,200,Pool,584222,860000,487700,,1
073-290-010,"537 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1152,1973,2,1.5,1,200,None,650948,867200,487300,,1
073-290-011,"533 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1056,1973,2,1.5,1,200,None,844700,835500,486200,,1
073-290-012,"536 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1056,1973,2,1.5,1,200,Pool,649744,829500,510200,,1
073-290-013,"531 MILLS WAY GOLETA, CA 93117",Condo,0,1056,1973,2,1.5,1,200,None,655456,871100,514600,,1
073-290-014,"529 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1056,1973,2,1.5,1,200,Pool,441690,811000,487800,,1
073-290-015,"524 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 800-1000 sq.ft.",0,994,1973,1,1.5,1,200,Pool,532458,800800,487900,,0
073-290-016,"526 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 800-1000 sq.ft.",0,944,1974,2,1.5,1,200,Pool,174519,763200,485000,,0
073-290-017,"528 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1152,1974,2,1.5,0,200,Pool,351696,846400,486400,,0
073-290-018,"530 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1152,1974,2,1.5,0,200,Pool,617929,912700,510900,,0
073-290-019,"532 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1152,1974,2,1.5,1,200,Pool,824160,882300,489500,,0
073-290-020,"534 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1250,1974,2,2,1,200,None,439997,854000,511800,,0
073-290-021,"536 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1056,1974,2,1.5,1,200,None,663253,829500,510200,,0
073-290-022,"538 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1056,1973,2,1.5,1,200,Pool,573449,869000,580000,,0
073-290-023,"540 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1056,1973,2,2.5,1,200,Pool,459127,811000,490900,,0
073-290-024,"542 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1056,1973,2,1.5,1,200,Pool,795600,916800,514300,,0
073-290-025,"544 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 800-1000 sq.ft.",0,944,1973,2,1.5,1,200,Pool,652574,879500,NA,,1
073-290-027,"548 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1404,1974,2,1.5,1,200,None,575876,929200,NA,,1
073-290-028,"550 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1152,1973,2,1.5,1,200,Pool,270424,847300,486900,,1
073-290-029,"552 MILLS WAY GOLETA, CA 93117",Condo,0,1056,1974,2,1.5,1,200,None,396404,720600,488500,,1
073-290-030,"554 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1056,1974,2,1.5,1,200,None,261845,742700,481300,,1
073-290-032,"558 MILLS WAY GOLETA, CA 93117","Rec. Area - 5-6 class, 1000-1300 sq.ft.",0,1056,1974,2,1.5,1,200,None,277921,781600,485900,,1
073-183-001,"7085 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.2,1587,1966,4,2.5,1,440,None,547686,1547600,844300,,1
073-183-002,"7089 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.16,1469,1966,3,1.75,1,478,None,424102,1337800,788500,,1
073-183-003,"7093 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.16,2092,1967,3,2.75,1,474,None,434276,1599000,851100,,1
073-183-004,"7097 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.19,1732,1967,3,2.5,1,478,Spa,1113982,1738800,845900,,1
073-183-006,"7098 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.16,1327,1969,2,1.75,1,484,None,465687,1465800,818100,,1
073-183-007,"7094 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.17,1769,1967,4,3,1,390,None,1016417,1750600,854100,,1
073-183-008,"7090 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.15,1450,1968,3,1.75,1,278,None,331501,1258000,782300,,1
073-183-009,"7086 SCRIPPS CRESCENT GOLETA, CA 93117",Single Family Residence,0.21,1884,1967,4,2.5,1,440,Both,1225343,1703300,854200,,1
